[ 2026-03-02 18:02:25,802] INFO - root - Logging Initialized.
[ 2026-03-02 18:02:27,623] INFO - root - Data Ingestion Initialized.
[ 2026-03-02 18:02:27,623] INFO - root - Connecting to mongoDB
[ 2026-03-02 18:02:27,913] INFO - root - Connection Successfull
[ 2026-03-02 18:02:27,913] INFO - root - Loading the data from mongodb
[ 2026-03-02 18:02:29,052] INFO - root - 493 records were Successfully loaded
[ 2026-03-02 18:02:29,052] INFO - root - Removed _id column and replaced 'na' into actuall null values
[ 2026-03-02 18:02:29,052] INFO - root - Returned 493 records
[ 2026-03-02 18:02:29,052] INFO - root - Creating the feature_Store directory.
[ 2026-03-02 18:02:29,069] INFO - root - Successfully saved the CSV file.
[ 2026-03-02 18:02:29,069] INFO - root - Train Test Split started.
[ 2026-03-02 18:02:29,069] INFO - root - Train Test Split Completed. Train shape: (394, 16), Test: (99, 16)
[ 2026-03-02 18:02:29,069] INFO - root - Creating artifact directory.
[ 2026-03-02 18:02:29,069] INFO - root - Train Test sets saved Successfully.
[ 2026-03-02 18:02:29,069] INFO - root - Data Ingestion Completed Successfully.
[ 2026-03-02 18:02:29,069] INFO - root - Reading yaml file from data_schema\schema.yaml
[ 2026-03-02 18:02:29,084] INFO - root - Schema Loaded successfully.
[ 2026-03-02 18:02:29,084] INFO - root - Data Validation Initiated.
[ 2026-03-02 18:02:29,084] INFO - root - Reading dataframe.
[ 2026-03-02 18:02:29,084] INFO - root - Reading dataframe.
[ 2026-03-02 18:02:29,084] INFO - root - Dataset Loaded.
[ 2026-03-02 18:02:29,084] INFO - root - Validating total number of columns received.
[ 2026-03-02 18:02:29,084] INFO - root - Validating datatype of each column in the dataframe.
[ 2026-03-02 18:02:29,084] INFO - root - Validating total number of columns received.
[ 2026-03-02 18:02:29,084] INFO - root - Validating datatype of each column in the dataframe.
[ 2026-03-02 18:02:29,084] INFO - root - Checking Data Drift.
[ 2026-03-02 18:02:29,116] INFO - root - Drift status: True
[ 2026-03-02 18:02:29,128] INFO - root - Data Validation Completed.
